,Year,Month,Date,film_strtitle,total_amount,total_tickets
392,2015,1,30,FOXCATCHER,11300.0,96
393,2015,1,30,GOPALA GOPALA,11650.0,98
394,2015,1,30,HAWAIZAADA,11660.0,99
395,2015,1,30,I,112610.0,954
396,2015,1,30,ISAI,70610.0,626
397,2015,1,30,KHAMOSHIYAN SILENCES HAVE SECRETS,12520.0,108
398,2015,1,30,KILLADI,7930.0,67
399,2015,1,30,PK,23700.0,203
400,2015,1,30,PONGE EZHU MANOHARA,3000.0,25
401,2015,1,30,PULAN VISARANAI 2,9140.0,78
402,2015,1,30,SEVENTH SON,11880.0,99
403,2015,1,30,TAKEN 3,11900.0,101
404,2015,1,30,THE IMITATION GAME,11780.0,100
405,2015,1,30,THE THEORY OF EVERYTHING,10200.0,85
406,2015,1,30,TOURING TALKIES,7820.0,67
407,2015,1,31,AAMBALA,12020.0,102
408,2015,1,31,AMERICAN SNIPER,22720.0,193
409,2015,1,31,BABY,72380.0,605
410,2015,1,31,BIRDMAN,24040.0,204
411,2015,1,31,DARLING,90620.0,779
412,2015,1,31,DHARANI,8170.0,69
413,2015,1,31,DOLLY KI DOLI,13400.0,119
414,2015,1,31,FOXCATCHER,14070.0,120
415,2015,1,31,GOPALA GOPALA,12480.0,104
416,2015,1,31,HAWAIZAADA,11880.0,99
417,2015,1,31,I,124480.0,1074
418,2015,1,31,ISAI,76850.0,700
419,2015,1,31,KHAMOSHIYAN SILENCES HAVE SECRETS,13210.0,111
420,2015,1,31,KILLADI,11850.0,107
421,2015,1,31,PK,25990.0,223
422,2015,1,31,PONGE EZHU MANOHARA,240.0,2
423,2015,1,31,PULAN VISARANAI 2,11980.0,109
424,2015,1,31,SEVENTH SON,14000.0,124
425,2015,1,31,TAKEN 3,11910.0,102
426,2015,1,31,THE IMITATION GAME,23810.0,203
427,2015,1,31,THE THEORY OF EVERYTHING,12960.0,108
428,2015,1,31,TOURING TALKIES,6040.0,54
429,2015,2,1,AAMBALA,11950.0,106
430,2015,2,1,AMERICAN SNIPER,23670.0,200
431,2015,2,1,BABY,79200.0,660
432,2015,2,1,BIRDMAN,23780.0,200
433,2015,2,1,DARLING,92010.0,797
434,2015,2,1,DHARANI,3410.0,33
435,2015,2,1,DOLLY KI DOLI,12500.0,106
436,2015,2,1,FOXCATCHER,15980.0,135
437,2015,2,1,GOPALA GOPALA,12970.0,109
438,2015,2,1,HAWAIZAADA,11920.0,103
439,2015,2,1,I,121000.0,1045
440,2015,2,1,ISAI,80510.0,725
441,2015,2,1,KHAMOSHIYAN SILENCES HAVE SECRETS,12990.0,111
442,2015,2,1,KILLADI,11840.0,106
443,2015,2,1,PK,25920.0,216
444,2015,2,1,PONGE EZHU MANOHARA,1320.0,11
445,2015,2,1,PULAN VISARANAI 2,11980.0,109
446,2015,2,1,SEVENTH SON,18730.0,157
447,2015,2,1,TAKEN 3,11910.0,102
448,2015,2,1,THE IMITATION GAME,23780.0,200
449,2015,2,1,THE THEORY OF EVERYTHING,12960.0,108
450,2015,2,1,TOURING TALKIES,11850.0,107
451,2015,2,2,AAMBALA,11780.0,100
452,2015,2,2,AMERICAN SNIPER,11930.0,104
453,2015,2,2,BABY,45200.0,384
454,2015,2,2,BIRDMAN,23560.0,200
455,2015,2,2,DARLING,43830.0,379
456,2015,2,2,DHARANI,240.0,2
457,2015,2,2,DOLLY KI DOLI,8940.0,80
458,2015,2,2,FOXCATCHER,8040.0,67
459,2015,2,2,GOPALA GOPALA,8280.0,69
460,2015,2,2,HAWAIZAADA,6520.0,58
461,2015,2,2,I,86310.0,733
