,Year,Month,film_strtitle,total_amount,total_tickets
759,2016,5,BAAGHI,298960.0,2627
760,2016,5,BLIND DATE,49450.0,413
761,2016,5,BRAHMOTSAVAM,378010.0,3239
762,2016,5,CAPTAIN AMERICA CIVIL WAR,1175380.0,10002
763,2016,5,DEAR DAD,84570.0,713
764,2016,5,FAN,129460.0,1102
765,2016,5,IDHU NAMMA AALU,570090.0,5102
766,2016,5,INAIYA THALAIMURAI,13330.0,112
767,2016,5,JACOBINTE SWARGARAJYAM,154020.0,1300
768,2016,5,JUMBULINGAM,114220.0,961
769,2016,5,KALAM,142710.0,1225
770,2016,5,KAMMATIPAADAM,81870.0,707
771,2016,5,KANDAEN KADHAL KONDAEN,7200.0,60
772,2016,5,KATHA SOLLA POROM,82970.0,718
773,2016,5,KI AND KA,62770.0,535
774,2016,5,KO 2,650440.0,5622
775,2016,5,KUNG FU PANDA 3,58820.0,492
776,2016,5,MANITHAN,1977690.0,16918
777,2016,5,MARUTHU,790440.0,6983
778,2016,5,MEERA JAKIRATHAI,840.0,7
779,2016,5,MONEY MONSTER,312760.0,2632
780,2016,5,MOTHERS DAY,55040.0,466
781,2016,5,NAAN YAAR,83760.0,709
782,2016,5,NIL BATTEY SANNATTA,141910.0,1189
783,2016,5,ONE NIGHT STAND,83660.0,743
784,2016,5,PELE BIRTH OF A LEGEND,206440.0,1746
785,2016,5,PENCIL,490680.0,4276
786,2016,5,PHOBIA,68290.0,592
787,2016,5,SARBJIT,159960.0,1388
788,2016,5,SARRAINODU,207460.0,1793
789,2016,5,SCHOOL BUS,53970.0,458
790,2016,5,SPL 2,36860.0,320
791,2016,5,SUPREME,108980.0,932
792,2016,5,THE ANGRY BIRDS MOVIE,254630.0,2176
793,2016,5,THE HUNTSMAN WINTERS WAR,126320.0,1060
794,2016,5,THE JUNGLE BOOK,837400.0,7092
795,2016,5,THE MAN WHO KNEW INFINITY,407750.0,3430
796,2016,5,THERI,1861480.0,15868
797,2016,5,THITHI,19580.0,165
798,2016,5,THOZHA,344870.0,2917
799,2016,5,TRAFFIC,150700.0,1276
800,2016,5,U TURN,39130.0,338
801,2016,5,UNNODU KA,85380.0,739
802,2016,5,URIYADI,52660.0,470
803,2016,5,VETRIVEL,151720.0,1323
804,2016,5,WAITING,80640.0,683
805,2016,5,X MEN APOCALYPSE,775100.0,6560
806,2016,6,24,278050.0,2340
807,2016,6,7 HOURS TO GO,35260.0,314
808,2016,6,A AA,418470.0,3556
809,2016,6,ALICE THROUGH THE LOOKING GLASS,198420.0,1670
810,2016,6,AMMA KANAKKU,175870.0,1538
811,2016,6,AZHAR,22720.0,193
812,2016,6,BLIND DATE,42400.0,357
813,2016,6,BRAHMOTSAVAM,20790.0,176
814,2016,6,CAPTAIN AMERICA CIVIL WAR,124840.0,1044
815,2016,6,CENTRAL INTELLIGENCE,260260.0,2222
816,2016,6,DHANAK,65550.0,560
817,2016,6,DO LAFZON KI KAHANI,69380.0,613
818,2016,6,ENAKKU INNORU PER IRUKU,832030.0,7336
819,2016,6,FINDING DORY,673390.0,5640
820,2016,6,HAPPY WEDDING,31860.0,271
821,2016,6,HOUSEFULL 3,1169110.0,9958
822,2016,6,IDHU NAMMA AALU,886870.0,7551
823,2016,6,INDEPENDENCE DAY RESURGENCE,374430.0,3156
824,2016,6,IRAIVI,1342650.0,11604
825,2016,6,JUNOONIYAT,129000.0,1130
826,2016,6,KO 2,80310.0,683
827,2016,6,MANITHAN,90580.0,775
828,2016,6,MARUTHU,110040.0,961
829,2016,6,ME BEFORE YOU,255390.0,2153
830,2016,6,METRO,167380.0,1492
831,2016,6,MUTHINA KATHIRIKA,249060.0,2224
832,2016,6,NANI GENTLEMAN,184630.0,1589
833,2016,6,NOW YOU SEE ME 2,427330.0,3617
834,2016,6,OKA AMMAYI THAPPA,49550.0,434
835,2016,6,ORU NAAL KOOTHU,410880.0,3611
836,2016,6,PELE BIRTH OF A LEGEND,19110.0,162
837,2016,6,PENCIL,7920.0,66
838,2016,6,PHOBIA,119780.0,1022
839,2016,6,RAASA MANDHIRI,38120.0,336
840,2016,6,RAMAN RAGHAV 2 0,95440.0,832
841,2016,6,SARBJIT,85870.0,722
842,2016,6,SCHOOL BUS,840.0,7
843,2016,6,SHORGUL,3000.0,25
844,2016,6,TE3N,498400.0,4201
845,2016,6,TEENAGE MUTANT NINJA TURTLES OUT OF THE SHADOWS,271810.0,2299
846,2016,6,THE ANGRY BIRDS MOVIE,644690.0,5410
847,2016,6,THE CONJURING 2,1489880.0,12776
848,2016,6,THE JUNGLE BOOK,411560.0,3459
849,2016,6,THE MAN WHO KNEW INFINITY,167950.0,1406
850,2016,6,THERI,273500.0,2329
851,2016,6,THOZHA,17420.0,147
852,2016,6,UDTA PUNJAB,674350.0,5736
853,2016,6,URIYADI,95830.0,827
854,2016,6,VELAINNU VANTHUTTA VELLAKARAN,1040830.0,9127
855,2016,6,WAITING,180060.0,1517
856,2016,6,WARCRAFT,241860.0,2043
857,2016,6,X MEN APOCALYPSE,252560.0,2123
858,2016,7,ADRA MACHAN VISILU,82030.0,723
859,2016,7,AMMA KANAKKU,109770.0,945
860,2016,7,ANURAGA KARIKKIN VELLAM,120990.0,1044
861,2016,7,APPA,692970.0,6146
862,2016,7,ARTHANAARI,101330.0,860
863,2016,7,ATTI,120.0,1
864,2016,7,BAD MOMS,70440.0,609
865,2016,7,BLIND DATE,23010.0,200
866,2016,7,DHILLUKU DHUDDU,924920.0,8221
867,2016,7,DISHOOM,71770.0,643
868,2016,7,ENAKKU INNORU PER IRUKU,50310.0,444
869,2016,7,FINDING DORY,806750.0,6744
870,2016,7,GHOSTBUSTERS,77360.0,652
871,2016,7,GREAT GRAND MASTI,235980.0,2093
872,2016,7,HOUSEFULL 3,150740.0,1269
873,2016,7,ICE AGE COLLISION COURSE,894740.0,7524
874,2016,7,IDHU NAMMA AALU,165710.0,1391
875,2016,7,INDEPENDENCE DAY RESURGENCE,374060.0,3156
876,2016,7,JACKSON DURAI,700160.0,6139
877,2016,7,KA KA KA PO,16730.0,144
878,2016,7,KABALI,4888960.0,42560
879,2016,7,KASABA,124860.0,1090
880,2016,7,LIGHTS OUT,71790.0,645
881,2016,7,MADAARI SSHHH DESH SO RAHA HAI,117470.0,1022
882,2016,7,METRO,314280.0,2763
883,2016,7,MUTHINA KATHIRIKA,52580.0,454
884,2016,7,NANI GENTLEMAN,144550.0,1233
885,2016,7,NOW YOU SEE ME 2,316740.0,2689
886,2016,7,ONBATHILRINDHU PATHU VARAI,18480.0,165
887,2016,7,ORU NAAL KOOTHU,48890.0,412
888,2016,7,OZHIVUDIVASATHE KALI,112080.0,956
889,2016,7,PAISA,58130.0,522
890,2016,7,RAMAN RAGHAV 2 0,57680.0,489
891,2016,7,SELFIE RAAJA,59600.0,537
892,2016,7,SHAJAHANUM PAREEKUTTIYUM,55950.0,491
893,2016,7,SHORGUL,33640.0,295
894,2016,7,STAR TREK BEYOND,201680.0,1699
895,2016,7,SULTAN,2524310.0,21618
896,2016,7,THE ANGRY BIRDS MOVIE,118920.0,991
897,2016,7,THE BFG,77440.0,671
898,2016,7,THE CONJURING 2,325110.0,2745
899,2016,7,THE JUNGLE BOOK,148610.0,1243
900,2016,7,THE LEGEND OF TARZAN,369270.0,3157
901,2016,7,THE SECRET LIFE OF PETS,515080.0,4318
902,2016,7,THERI,177070.0,1504
903,2016,7,UDTA PUNJAB,303030.0,2561
904,2016,7,VEERAPPAN,40050.0,353
905,2016,7,VELAINNU VANTHUTTA VELLAKARAN,210180.0,1805
906,2016,7,WHITE,35130.0,301
907,2016,8,54321,54650.0,482
